sid,bd_blends
21113,B99
21767,B20
21779,B20
21780,B20
21781,B20
21782,B20
21783,B20
21784,B20
21785,B20
21854,B20
21855,B20
21856,B20
21857,B20
21858,B20
21859,B20
21860,B20
21861,B20
21862,B20
21863,B20
21864,B20
21865,B20
21877,"B20 in summer, B5 in winter"
21878,"B20 in summer, B5 in winter"
21886,B20
22615,B20
23766,"B99, B20"
25374,B20
25475,B20
25565,"B99 in summer, B50 in winter"
25594,B20
25789,"B100 in summer, no BD in the winter"
25902,"B99, B20"
26646,B20
27141,"B20, B5"
27145,"B20, B5"
27149,"B20, B5"
27153,"B20, B5"
27156,"B20, B5"
27157,"B20, B5"
27159,B20
27289,B20
27820,"B99, B20, B5"
28252,B20
28761,B99
29571,"B20 in summer, B5 in winter"
30008,B20
30303,B20
30305,B20
30321,B20
30325,B20
30337,B20
30346,B20
30353,B20
30606,B99
30666,B20
30669,B20
31225,"B99 in summer, B70 in winter"
31301,B20
31311,B20
31494,B20
31496,B20
31497,B20
31656,"B99, B50"
31824,"B20, B5"
32044,B20
32217,B20
32489,B20
32493,"B20 in summer, B10 in winter"
32754,B20
32755,B20
32756,B20
32757,B20
32758,B20
32759,B20
32760,B20
32778,B20
33414,"B99, B20"
33488,"B30, any blend up to B30 available"
33588,B20
33598,B20
33599,B20
33615,B20
33617,B20
33620,B20
33625,B20
33630,B20
33631,B20
33887,B20
33915,B20
34305,B20
34640,B20
34641,B20
34642,B20
34643,B20
34644,B20
34645,B20
34646,B20
34647,B20
34648,B20
34649,B20
34650,B20
34651,B20
34652,B20
34653,B20
34654,B20
34655,B20
34656,B20
34657,B20
34658,B20
34659,B20
34660,B20
34661,B20
34662,B20
34663,B20
34664,B20
34665,B20
34666,B20
34667,B20
34668,B20
34669,B20
34670,B20
34671,B20
34672,B20
34673,B20
34674,B20
34675,B20
34676,B20
34677,B20
34678,B20
34679,B20
34680,B20
34681,B20
34682,B20
34683,B20
34684,B20
34685,B20
34686,B20
34687,B20
34688,B20
34689,B20
34690,B20
34691,B20
34692,B20
34693,B20
34694,B20
34695,B20
34696,B20
34697,B20
34698,B20
34699,B20
34704,B20
34705,B20
34707,B20
34708,B20
34709,B20
34710,B20
34711,B20
34712,B20
34713,B20
34714,B20
34715,B20
34716,B20
34717,B20
34719,B20
34720,B20
35010,B99
35215,B20
35217,B20
35324,B20
35327,B20
35332,B20
35334,B20
35510,"B20, B5"
35517,B20
35630,B20 in summer
35647,B20
36556,B20
37615,"B20, B5"
38043,B20
38045,"B20, any blend up to B20 available"
38046,B20
38561,B20
38563,B20
38564,B20
38565,B20
39181,"B20, B5"
40174,"B20 in summer, B5 in winter"
40621,"B99 in summer, B20"
41656,B20
41657,B20
41667,B20
41668,B20
42479,"B20 in summer, B5 in winter"
42579,"B20, B10"
43620,"B99, B20, B5"
44836,B20
44838,B20
46335,B20 in summer
47263,B20
47264,B20
47270,B20
47466,"B20 in summer, B11 in winter"
47977,B20
47978,B20
47982,B20
47990,B20
48431,B99
48438,B20
48439,B20
48442,B20
48443,B20
48453,B20
48457,B20
48458,B20
48471,B20
48474,B20
48475,B20
48477,"B99, B20, B5"
48486,B20
48891,B20
48893,B20
49273,B20
49277,"B20 in summer, B10 in winter"
50642,"B50, B30, B20, B5, custom blends"
52171,"B20 in summer, B5 in winter"
52415,B20
52970,"B20 in summer, B5 in winter"
52974,B20
52975,"B20 in summer, B5 in winter"
52977,"B20 in summer, B5 in winter"
52979,B20
53237,B20
53238,B20
53239,B20
53240,B20
53242,B20
53243,B20
53244,B20
53245,"B100 and B20 in summer, B5 in winter"
53246,"B100 and B20 in summer, B5 in winter"
53247,"B20 in summer, B5 in winter"
53248,"B20 in summer, B5 in winter"
53249,"B20 in summer, B5 in winter"
53250,"B99, B20"
53251,"B99, B20"
53254,"B20 in summer, B5 in winter"
53256,B20
53257,B20
53258,B20
53259,B20
53260,B20
53261,B20
53262,B20
53263,B20
53264,B20
53265,B20
53266,B20
53267,B20
53268,B20
53269,B20
53270,B20
53271,B20
53272,B20
53273,B20
53274,B20
53275,B20
53276,B20
53277,B20
53278,B20
53279,B20
53280,B20
53281,B20
53282,B20
53283,B20
53284,B20
53285,B20
53286,B20
53287,B20
53288,B20
53290,B20
53291,B20
53292,B20
53293,B20
53294,B20
53295,B20
53296,B20
53297,B20
53298,B20
53299,B20
53300,B20
53301,B20
53302,B20
53303,B20
53304,B20
53305,B20
53306,B20
53307,B20
53308,B20
53309,B20
53310,B20
61125,B20 in summer
61127,B20 in summer
61139,"B20 in summer, B11 in winter"
61390,"B99, any blend up to B99"
62291,"B20 in summer, B5 in winter"
62635,B20
62673,B20
62678,B20
62707,B20
63025,B20
63073,B20
63284,B20
63305,B20
63412,B20
63795,"B20 in summer, B10 in winter"
64307,B20
66410,B99
66663,B20
68537,B20
70115,B99
73695,"B20 in summer, B5 in winter"
76174,B20
76175,B20
76176,B20
76177,B20
76179,B20
76181,B20
76182,B20
76184,B20
76185,B20
76191,B20
77709,B20
77714,B20
77725,B20
79711,B20
79714,B20
79719,"B20 in summer, B5 in winter"
79720,B20
79723,B20
79726,B20
79727,B20
79735,B20
79736,B20
79737,B20
79824,B20
79936,B20
80509,B20
81070,B20
81252,B20
81253,B20
81445,B20
81447,B20
82112,"B100, B99"
86148,B20
86875,B11
86939,B20
86974,B20
87008,B20
87010,B20
91898,"B20, B10, B5"
92129,B20
94520,B20
94606,B20
94607,B20
94608,B20
94609,B20
94610,B20
98623,B20
98625,B20
98714,B20
98715,B20
98719,B20
103057,"B20 in summer, B5 in winter"
103058,"B20 in summer, B5 in winter"
103059,"B20 in summer, B5 in winter"
103063,"B20 in summer, B5 in winter"
103065,"B20 in summer, B5 in winter"
104494,B20
117649,"B20 in summer, B5 in winter"
121458,"B20 in summer, B5 in winter"
121471,B20
121476,B20
121477,B20
121479,B20 in winter
136704,B20
138549,B20
145045,"B20, B5"
145046,"B20, B5"
145047,"B20, B5"
145048,"B20, B5"
145049,"B20, B5"
145050,"B20, B5"
145051,"B20, B5"
145052,"B20, B5"
145053,"B20, B5"
145054,"B20, B5"
145055,"B20, B5"
145057,"B20, B5"
145058,"B20, B5"
145059,"B20, B5"
145060,"B20, B5"
145061,"B20, B5"
145062,"B20, B5"
145063,"B20, B5"
145064,"B20, B5"
145065,"B20, B5"
145066,"B20, B5"
145067,"B20, B5"
145068,B20
145437,B20
147212,"B20 in summer, B5 in winter"
149239,B20
149241,B20
149268,B20
150287,"B20 in summer, B5 in winter"
151879,B20
151883,B20
151891,B20
155564,"B20 in summer, B5 in winter"
155605,"B20 in summer, B5 in winter"
155606,"B20 in summer, B5 in winter"
155629,"B20 in summer, B5 in winter"
155630,"B20 in summer, B5 in winter"
155631,"B20 in summer, B5 in winter"
155632,"B20 in summer, B5 in winter"
155633,"B20 in summer, B5 in winter"
155634,"B20 in summer, B5 in winter"
155635,"B20 in summer, B5 in winter"
155636,"B20 in summer, B5 in winter"
155637,"B20 in summer, B5 in winter"
155638,"B20 in summer, B5 in winter"
155640,"B20 in summer, B5 in winter"
155643,"B20 in summer, B5 in winter"
155645,"B20 in summer, B5 in winter"
155648,"B20 in summer, B5 in winter"
155649,"B20 in summer, B5 in winter"
155650,"B20 in summer, B5 in winter"
155653,B20
155776,"B20 in summer, B5 in winter"
155777,"B20 in summer, B5 in winter"
155778,"B20 in summer, B5 in winter"
155779,"B20 in summer, B5 in winter"
155780,"B20 in summer, B5 in winter"
155781,"B20 in summer, B5 in winter"
155782,"B20 in summer, B5 in winter"
155783,"B20 in summer, B5 in winter"
155784,"B20 in summer, B5 in winter"
155785,"B20 in summer, B5 in winter"
155786,"B20 in summer, B5 in winter"
155787,"B20 in summer, B5 in winter"
155788,"B20 in summer, B5 in winter"
155789,"B20 in summer, B5 in winter"
155790,"B20 in summer, B5 in winter"
155791,"B20 in summer, B5 in winter"
155792,"B20 in summer, B5 in winter"
155793,"B20 in summer, B5 in winter"
155794,"B20 in summer, B5 in winter"
155795,"B20 in summer, B5 in winter"
155796,"B20 in summer, B5 in winter"
155797,"B20 in summer, B5 in winter"
155798,"B20 in summer, B5 in winter"
155799,"B20 in summer, B5 in winter"
155800,"B20 in summer, B5 in winter"
155801,"B20 in summer, B5 in winter"
155802,"B20 in summer, B5 in winter"
155803,"B20 in summer, B5 in winter"
155804,"B20 in summer, B5 in winter"
155805,"B20 in summer, B5 in winter"
155806,"B20 in summer, B5 in winter"
155807,"B20 in summer, B5 in winter"
155808,"B20 in summer, B5 in winter"
155809,"B20 in summer, B5 in winter"
155810,"B20 in summer, B5 in winter"
155811,"B20 in summer, B5 in winter"
155812,"B20 in summer, B5 in winter"
155813,"B20 in summer, B5 in winter"
155814,"B20 in summer, B5 in winter"
155815,"B20 in summer, B5 in winter"
155816,"B20 in summer, B5 in winter"
155817,"B20 in summer, B5 in winter"
155818,"B20 in summer, B5 in winter"
155819,"B20 in summer, B5 in winter"
155820,"B20 in summer, B5 in winter"
155821,"B20 in summer, B5 in winter"
155822,"B20 in summer, B5 in winter"
155823,"B20 in summer, B5 in winter"
155824,"B20 in summer, B5 in winter"
155825,"B20 in summer, B5 in winter"
155826,"B20 in summer, B5 in winter"
155827,"B20 in summer, B5 in winter"
155828,"B20 in summer, B5 in winter"
155829,"B20 in summer, B5 in winter"
155830,"B20 in summer, B5 in winter"
155831,"B20 in summer, B5 in winter"
155832,"B20 in summer, B5 in winter"
155833,"B20 in summer, B5 in winter"
155834,"B20 in summer, B5 in winter"
155835,"B20 in summer, B5 in winter"
155836,"B20 in summer, B5 in winter"
155837,"B20 in summer, B5 in winter"
155838,"B20 in summer, B5 in winter"
155839,"B20 in summer, B5 in winter"
155840,"B20 in summer, B5 in winter"
155841,"B20 in summer, B5 in winter"
155842,"B20 in summer, B5 in winter"
155843,"B20 in summer, B5 in winter"
155844,"B20 in summer, B5 in winter"
155845,"B20 in summer, B5 in winter"
155846,"B20 in summer, B5 in winter"
155847,"B20 in summer, B5 in winter"
155848,"B20 in summer, B5 in winter"
155849,"B20 in summer, B5 in winter"
155850,"B20 in summer, B5 in winter"
155851,"B20 in summer, B5 in winter"
155852,"B20 in summer, B5 in winter"
155853,"B20 in summer, B5 in winter"
155854,"B20 in summer, B5 in winter"
155855,"B20 in summer, B5 in winter"
155856,"B20 in summer, B5 in winter"
155857,"B20 in summer, B5 in winter"
155858,"B20 in summer, B5 in winter"
155859,"B20 in summer, B5 in winter"
155860,"B20 in summer, B5 in winter"
155861,"B20 in summer, B5 in winter"
155862,"B20 in summer, B5 in winter"
155863,"B20 in summer, B5 in winter"
155864,"B20 in summer, B5 in winter"
155865,"B20 in summer, B5 in winter"
155889,"B20 in summer, B5 in winter"
155890,"B20 in summer, B5 in winter"
155891,"B20 in summer, B5 in winter"
155892,"B20 in summer, B5 in winter"
155893,"B20 in summer, B5 in winter"
155894,"B20 in summer, B5 in winter"
155895,"B20 in summer, B5 in winter"
155896,"B20 in summer, B5 in winter"
155897,"B20 in summer, B5 in winter"
155898,"B20 in summer, B5 in winter"
155900,B99
155901,B5-B99
155902,"B20 in summer, B5 in winter"
155903,B5-B100
155904,"B20 in summer, B5 in winter"
155906,"B20 in summer, B5 in winter"
155907,"B20 in summer, B5 in winter"
164402,"B20 in summer, B5 in winter"
164652,B20
165526,B20
170763,B20
183608,B20
183611,B20
185103,B20
185104,B20
185105,B20
185107,B20
186923,"B20 in summer, B5 in winter"
186924,"B20 in summer, B5 in winter"
186926,"B20 in summer, B5 in winter"
186927,"B20 in summer, B5 in winter"
186928,"B20 in summer, B5 in winter"
186929,"B20 in summer, B5 in winter"
186930,"B20 in summer, B5 in winter"
186931,"B20 in summer, B5 in winter"
186932,"B20 in summer, B5 in winter"
186933,"B20 in summer, B5 in winter"
186934,"B20 in summer, B5 in winter"
186935,"B20 in summer, B5 in winter"
187212,B20
187425,B20
187426,B20
187427,B20
187428,B20
187429,B20
187430,B20
187431,B20
187432,B20
187433,B20
187434,B20
187436,B20
187437,B20
187438,B20
187439,B20
187440,B20
187441,B20
187442,B20
187443,B20
187444,B20
187445,B20
187446,B20
187447,B20
187448,B20
187449,B20
187451,B20
187452,B20
187453,B20
187454,B20
187455,B20
187456,B20
187457,B20
187458,B20
187459,B20
187460,B20
187461,B20
187462,B20
187463,B20
187464,B20
187465,B20
190032,b20
190033,B20
190034,B20
190035,B20
190036,B20
190037,B20
193013,B20
193014,B20
193015,B20
193031,B20
193032,B20
193033,B20
193034,B20
193035,B20
193036,B20
193037,B20
193038,B20
193039,B20
193040,B20
193041,B20
193042,B20
196413,B20
196414,B20
196415,B20
196416,B20
196603,B20
196605,B20
196606,B20
196607,B20
196608,B20
196609,B20
196610,B20
196611,B20
196612,B20
196613,B20
196614,B20
196615,B20
202987,"B20 in summer, B5 in winter"
203038,"B20 in summer, B5 in winter"
203379,"B20 in summer, B5 in winter"
203392,"B20 in summer, B5 in winter"
203398,"B20 in summer, B5 in winter"
203412,"B20 in summer, B5 in winter"
203431,"B20 in summer, B5 in winter"
203806,"B20 in summer, B5 in winter"
203807,"B20 in summer, B5 in winter"
203808,"B20 in summer, B5 in winter"
203809,"B20 in summer, B5 in winter"
203810,"B20 in summer, B5 in winter"
203811,"B20 in summer, B5 in winter"
203812,"B20 in summer, B5 in winter"
203813,"B20 in summer, B5 in winter"
203814,"B20 in summer, B5 in winter"
203815,"B20 in summer, B5 in winter"
203816,"B20 in summer, B5 in winter"
203817,"B20 in summer, B5 in winter"
203818,"B20 in summer, B5 in winter"
203819,"B20 in summer, B5 in winter"
203820,"B20 in summer, B5 in winter"
203821,"B20 in summer, B5 in winter"
203822,"B20 in summer, B5 in winter"
203823,"B20 in summer, B5 in winter"
203824,"B20 in summer, B5 in winter"
203825,"B20 in summer, B5 in winter"
203826,"B20 in summer, B5 in winter"
203827,"B20 in summer, B5 in winter"
203828,"B20 in summer, B5 in winter"
203829,"B20 in summer, B5 in winter"
203830,"B20 in summer, B5 in winter"
203831,"B20 in summer, B5 in winter"
203832,"B20 in summer, B5 in winter"
203833,"B20 in summer, B5 in winter"
203834,"B20 in summer, B5 in winter"
203835,"B20 in summer, B5 in winter"
203836,"B20 in summer, B5 in winter"
203837,"B20 in summer, B5 in winter"
203838,"B20 in summer, B5 in winter"
203839,"B20 in summer, B5 in winter"
203840,"B20 in summer, B5 in winter"
203841,"B20 in summer, B5 in winter"
203842,"B20 in summer, B5 in winter"
203843,"B20 in summer, B5 in winter"
203844,"B20 in summer, B5 in winter"
203845,"B20 in summer, B5 in winter"
203846,"B20 in summer, B5 in winter"
203847,"B20 in summer, B5 in winter"
203848,"B20 in summer, B5 in winter"
203849,"B20 in summer, B5 in winter"
203850,"B20 in summer, B5 in winter"
203851,"B20 in summer, B5 in winter"
203852,"B20 in summer, B5 in winter"
203853,"B20 in summer, B5 in winter"
203854,"B20 in summer, B5 in winter"
203855,"B20 in summer, B5 in winter"
203856,"B20 in summer, B5 in winter"
203857,"B20 in summer, B5 in winter"
203858,"B20 in summer, B5 in winter"
203859,"B20 in summer, B5 in winter"
203860,"B20 in summer, B5 in winter"
203861,"B20 in summer, B5 in winter"
203862,"B20 in summer, B5 in winter"
203863,"B20 in summer, B5 in winter"
203864,"B20 in summer, B5 in winter"
203865,"B20 in summer, B5 in winter"
203866,"B20 in summer, B5 in winter"
203867,"B20 in summer, B5 in winter"
203868,"B20 in summer, B5 in winter"
203869,"B20 in summer, B5 in winter"
203870,"B20 in summer, B5 in winter"
203871,"B20 in summer, B5 in winter"
203872,"B20 in summer, B5 in winter"
203873,"B20 in summer, B5 in winter"
203874,"B20 in summer, B5 in winter"
203875,"B20 in summer, B5 in winter"
203876,"B20 in summer, B5 in winter"
203877,"B20 in summer, B5 in winter"
203878,"B20 in summer, B5 in winter"
203879,"B20 in summer, B5 in winter"
203880,"B20 in summer, B5 in winter"
203881,"B20 in summer, B5 in winter"
203882,"B20 in summer, B5 in winter"
203883,"B20 in summer, B5 in winter"
203884,"B20 in summer, B5 in winter"
203885,"B20 in summer, B5 in winter"
203904,"B20 in summer, B5 in winter"
203905,"B20 in summer, B5 in winter"
203906,"B20 in summer, B5 in winter"
203907,"B20 in summer, B5 in winter"
203908,"B20 in summer, B5 in winter"
