sid,rd_blends,rd_blended_with_biodiesel,rd_max_biodiesel_level
237258,RD99,N,None
237259,RD99,N,None
237260,RD99,N,None
237261,RD99,N,None
237262,RD99,N,None
237263,RD99,N,None
237264,RD99,N,None
237265,RD99,N,None
237266,RD99,N,None
237267,RD99,N,None
237268,RD99,N,None
237269,RD99,N,None
237270,RD99,N,None
237271,RD99,N,None
237272,RD99,N,None
237273,RD99,N,None
237274,RD99,N,None
237275,RD99,N,None
237276,RD99,N,None
237277,RD99,N,None
237278,RD99,N,None
237279,RD99,N,None
237280,RD99,N,None
237281,RD99,N,None
237282,RD99,N,None
237283,RD99,N,None
237284,RD99,N,None
237285,RD99,N,None
237286,RD99,N,None
237287,RD99,N,None
237288,RD100,N,None
237289,RD100,N,None
237290,RD99,N,None
237292,RD99,N,None
237293,RD99,N,None
237294,RD95,Y,5.0
237295,RD80,Y,20.0
238010,RD80,Y,20.0
238011,RD80,Y,20.0
240192,RD95,Y,5.0
240193,RD95,Y,5.0
240194,RD95,Y,5.0
240195,RD95,Y,5.0
240196,RD95,Y,5.0
240197,RD95,Y,5.0
240198,RD95,Y,5.0
240199,RD95,Y,5.0
240200,RD95,Y,5.0
240201,RD95,Y,5.0
240202,RD95,Y,5.0
240203,RD95,Y,5.0
240204,RD95,Y,5.0
240205,RD95,Y,5.0
240206,RD95,Y,5.0
240207,RD95,Y,5.0
240208,RD95,Y,5.0
240209,RD95,Y,5.0
240210,RD95,Y,5.0
240211,RD95,Y,5.0
240212,RD95,Y,5.0
240213,RD95,Y,5.0
240214,RD95,Y,5.0
240215,RD95,Y,5.0
240216,RD95,Y,5.0
240217,RD95,Y,5.0
240218,RD95,Y,5.0
240219,RD95,Y,5.0
240220,RD95,Y,5.0
240221,RD95,Y,5.0
240222,RD95,Y,5.0
240223,RD95,Y,5.0
240224,RD95,Y,5.0
240225,RD95,Y,5.0
240226,RD95,Y,5.0
240227,RD95,Y,5.0
240228,RD95,Y,5.0
240229,RD95,Y,5.0
240230,RD95,Y,5.0
240231,RD95,Y,5.0
240232,RD95,Y,5.0
240233,RD95,Y,5.0
240234,RD95,Y,5.0
240235,RD95,Y,5.0
240236,RD95,Y,5.0
240237,RD95,Y,5.0
240238,RD95,Y,5.0
240239,RD95,Y,5.0
240240,RD95,Y,5.0
240241,RD95,Y,5.0
240242,RD95,Y,5.0
240243,RD95,Y,5.0
240244,RD95,Y,5.0
240245,RD95,Y,5.0
240246,RD95,Y,5.0
240247,RD95,Y,5.0
240248,RD95,Y,5.0
240249,RD95,Y,5.0
240250,RD95,Y,5.0
240251,RD95,Y,5.0
240252,RD95,Y,5.0
240253,RD95,Y,5.0
240254,RD95,Y,5.0
240255,RD95,Y,5.0
240256,RD95,Y,5.0
240257,RD95,Y,5.0
240258,RD95,Y,5.0
240259,RD95,Y,5.0
240260,RD95,Y,5.0
240261,RD95,Y,5.0
240262,RD95,Y,5.0
240263,RD95,Y,5.0
240264,RD95,Y,5.0
240265,RD95,Y,5.0
240266,RD95,Y,5.0
240267,RD95,Y,5.0
240268,RD95,Y,5.0
240269,RD95,Y,5.0
240270,RD95,Y,5.0
240271,RD95,Y,5.0
240272,RD95,Y,5.0
240273,RD95,Y,5.0
240274,RD95,Y,5.0
240275,RD95,Y,5.0
240276,RD95,Y,5.0
240277,RD95,Y,5.0
240278,RD95,Y,5.0
240279,RD95,Y,5.0
240280,RD95,Y,5.0
240281,RD95,Y,5.0
240282,RD95,Y,5.0
240283,RD95,Y,5.0
240284,RD95,Y,5.0
240285,RD95,Y,5.0
240286,RD95,Y,5.0
240287,RD95,Y,5.0
240288,RD95,Y,5.0
240289,RD95,Y,5.0
240290,RD95,Y,5.0
240291,RD95,Y,5.0
240292,RD95,Y,5.0
240293,RD95,Y,5.0
240294,RD95,Y,5.0
240295,RD95,Y,5.0
240296,RD95,Y,5.0
240297,RD95,Y,5.0
240298,RD95,Y,5.0
240299,RD95,Y,5.0
240300,RD95,Y,5.0
240301,RD95,Y,5.0
240302,RD95,Y,5.0
240303,RD95,Y,5.0
240304,RD95,Y,5.0
240305,RD95,Y,5.0
240306,RD95,Y,5.0
240307,RD95,Y,5.0
240308,RD95,Y,5.0
240309,RD95,Y,5.0
240310,RD95,Y,5.0
240311,RD95,Y,5.0
240312,RD95,Y,5.0
240313,RD95,Y,5.0
240314,RD95,Y,5.0
240315,RD95,Y,5.0
240316,RD95,Y,5.0
240317,RD95,Y,5.0
240318,RD95,Y,5.0
240319,RD95,Y,5.0
240320,RD95,Y,5.0
240321,RD95,Y,5.0
240322,RD95,Y,5.0
240323,RD95,Y,5.0
240324,RD95,Y,5.0
240325,RD95,Y,5.0
240326,RD95,Y,5.0
240327,RD95,Y,5.0
240328,RD95,Y,5.0
240329,RD95,Y,5.0
240330,RD95,Y,5.0
240331,RD95,Y,5.0
240332,RD95,Y,5.0
240333,RD95,Y,5.0
240334,RD95,Y,5.0
240335,RD95,Y,5.0
240336,RD95,Y,5.0
240337,RD95,Y,5.0
240338,RD95,Y,5.0
240339,RD95,Y,5.0
240340,RD95,Y,5.0
240341,RD95,Y,5.0
240342,RD95,Y,5.0
240343,RD95,Y,5.0
240344,RD95,Y,5.0
240345,RD95,Y,5.0
240346,RD95,Y,5.0
240347,RD95,Y,5.0
240348,RD95,Y,5.0
240349,RD95,Y,5.0
240350,RD95,Y,5.0
240351,RD95,Y,5.0
240352,RD95,Y,5.0
240353,RD95,Y,5.0
240354,RD95,Y,5.0
240355,RD95,Y,5.0
240356,RD95,Y,5.0
240357,RD95,Y,5.0
240358,RD95,Y,5.0
240359,RD95,Y,5.0
240360,RD95,Y,5.0
240361,RD95,Y,5.0
240362,RD95,Y,5.0
240363,RD95,Y,5.0
240364,RD95,Y,5.0
240365,RD95,Y,5.0
240366,RD95,Y,5.0
240367,RD95,Y,5.0
240368,RD95,Y,5.0
240369,RD95,Y,5.0
240370,RD95,Y,5.0
240371,RD95,Y,5.0
240372,RD95,Y,5.0
240373,RD95,Y,5.0
240374,RD95,Y,5.0
240375,RD95,Y,5.0
240376,RD95,Y,5.0
240377,RD95,Y,5.0
240378,RD95,Y,5.0
240379,RD95,Y,5.0
240380,RD95,Y,5.0
240381,RD95,Y,5.0
240382,RD95,Y,5.0
240383,RD95,Y,5.0
240384,RD95,Y,5.0
240385,RD95,Y,5.0
240386,RD95,Y,5.0
240387,RD95,Y,5.0
240388,RD95,Y,5.0
240389,RD95,Y,5.0
240390,RD95,Y,5.0
240391,RD95,Y,5.0
240392,RD95,Y,5.0
240393,RD95,Y,5.0
240394,RD95,Y,5.0
240395,RD95,Y,5.0
240396,RD95,Y,5.0
240397,RD95,Y,5.0
240398,RD95,Y,5.0
240399,RD95,Y,5.0
240400,RD95,Y,5.0
240401,RD95,Y,5.0
240402,RD95,Y,5.0
240403,RD95,Y,5.0
240404,RD95,Y,5.0
240405,RD95,Y,5.0
240406,RD95,Y,5.0
240407,RD95,Y,5.0
240408,RD95,Y,5.0
240409,RD95,Y,5.0
240410,RD95,Y,5.0
240411,RD95,Y,5.0
240412,RD95,Y,5.0
240413,RD95,Y,5.0
240414,RD95,Y,5.0
240415,RD95,Y,5.0
240416,RD95,Y,5.0
240417,RD95,Y,5.0
240418,RD95,Y,5.0
240419,RD95,Y,5.0
240420,RD95,Y,5.0
240421,RD95,Y,5.0
240422,RD95,Y,5.0
240423,RD95,Y,5.0
240424,RD95,Y,5.0
240425,RD95,Y,5.0
240426,RD95,Y,5.0
240427,RD95,Y,5.0
240428,RD95,Y,5.0
240429,RD95,Y,5.0
240430,RD95,Y,5.0
240431,RD95,Y,5.0
240432,RD95,Y,5.0
240433,RD95,Y,5.0
240434,RD95,Y,5.0
240435,RD95,Y,5.0
240436,RD95,Y,5.0
240437,RD95,Y,5.0
240438,RD95,Y,5.0
240439,RD95,Y,5.0
240440,RD95,Y,5.0
240441,RD95,Y,5.0
240442,RD95,Y,5.0
240443,RD95,Y,5.0
240444,RD95,Y,5.0
240445,RD95,Y,5.0
240446,RD95,Y,5.0
240447,RD95,Y,5.0
240448,RD95,Y,5.0
240449,RD95,Y,5.0
240450,RD95,Y,5.0
240451,RD95,Y,5.0
240452,RD95,Y,5.0
240453,RD95,Y,5.0
240454,RD95,Y,5.0
240455,RD95,Y,5.0
240456,RD95,Y,5.0
240457,RD95,Y,5.0
240458,RD95,Y,5.0
240459,RD95,Y,5.0
240460,RD95,Y,5.0
240461,RD95,Y,5.0
240462,RD95,Y,5.0
240463,RD95,Y,5.0
240464,RD95,Y,5.0
240465,RD95,Y,5.0
240466,RD95,Y,5.0
240467,RD95,Y,5.0
240468,RD95,Y,5.0
240469,RD95,Y,5.0
240470,RD95,Y,5.0
240471,RD95,Y,5.0
240472,RD95,Y,5.0
240473,RD95,Y,5.0
240474,RD95,Y,5.0
240475,RD95,Y,5.0
240476,RD95,Y,5.0
240477,RD95,Y,5.0
240478,RD95,Y,5.0
240479,RD95,Y,5.0
240480,RD95,Y,5.0
240481,RD95,Y,5.0
240482,RD95,Y,5.0
240483,RD95,Y,5.0
240484,RD95,Y,5.0
240485,RD95,Y,5.0
240486,RD95,Y,5.0
240487,RD95,Y,5.0
240488,RD95,Y,5.0
240489,RD95,Y,5.0
240490,RD95,Y,5.0
240491,RD95,Y,5.0
240492,RD95,Y,5.0
240493,RD95,Y,5.0
240494,RD95,Y,5.0
240495,RD95,Y,5.0
240496,RD95,Y,5.0
240497,RD95,Y,5.0
240498,RD95,Y,5.0
240499,RD95,Y,5.0
240500,RD95,Y,5.0
240501,RD95,Y,5.0
240502,RD95,Y,5.0
240503,RD95,Y,5.0
240504,RD95,Y,5.0
240505,RD95,Y,5.0
240506,RD95,Y,5.0
240507,RD95,Y,5.0
240508,RD95,Y,5.0
240509,RD95,Y,5.0
240510,RD95,Y,5.0
240511,RD95,Y,5.0
240512,RD95,Y,5.0
240513,RD95,Y,5.0
240514,RD95,Y,5.0
240515,RD95,Y,5.0
240516,RD95,Y,5.0
240517,RD95,Y,5.0
240518,RD95,Y,5.0
240519,RD95,Y,5.0
240520,RD95,Y,5.0
240521,RD95,Y,5.0
240522,RD95,Y,5.0
240523,RD95,Y,5.0
240524,RD95,Y,5.0
240525,RD95,Y,5.0
240526,RD95,Y,5.0
240527,RD95,Y,5.0
240528,RD95,Y,5.0
240529,RD95,Y,5.0
240530,RD95,Y,5.0
240531,RD95,Y,5.0
240532,RD95,Y,5.0
240533,RD95,Y,5.0
240534,RD95,Y,5.0
240535,RD95,Y,5.0
240536,RD95,Y,5.0
240537,RD95,Y,5.0
240538,RD95,Y,5.0
240539,RD95,Y,5.0
240540,RD95,Y,5.0
240541,RD95,Y,5.0
240542,RD95,Y,5.0
240543,RD95,Y,5.0
240544,RD95,Y,5.0
240545,RD95,Y,5.0
240546,RD95,Y,5.0
240547,RD95,Y,5.0
240548,RD95,Y,5.0
240549,RD95,Y,5.0
240550,RD95,Y,5.0
240551,RD95,Y,5.0
240552,RD95,Y,5.0
240553,RD95,Y,5.0
240554,RD95,Y,5.0
240555,RD95,Y,5.0
240556,RD95,Y,5.0
240557,RD95,Y,5.0
240558,RD95,Y,5.0
240559,RD95,Y,5.0
240560,RD95,Y,5.0
240561,RD95,Y,5.0
240562,RD95,Y,5.0
240563,RD95,Y,5.0
240564,RD95,Y,5.0
240565,RD95,Y,5.0
240566,RD95,Y,5.0
240567,RD95,Y,5.0
240568,RD95,Y,5.0
240569,RD95,Y,5.0
240570,RD95,Y,5.0
240571,RD95,Y,5.0
240572,RD95,Y,5.0
240573,RD95,Y,5.0
240574,RD95,Y,5.0
240575,RD95,Y,5.0
240576,RD95,Y,5.0
240577,RD95,Y,5.0
240578,RD95,Y,5.0
240579,RD95,Y,5.0
240580,RD95,Y,5.0
240581,RD95,Y,5.0
240582,RD95,Y,5.0
240583,RD95,Y,5.0
240584,RD95,Y,5.0
240585,RD95,Y,5.0
240586,RD95,Y,5.0
240587,RD95,Y,5.0
240588,RD95,Y,5.0
240589,RD95,Y,5.0
240590,RD95,Y,5.0
240591,RD95,Y,5.0
240592,RD95,Y,5.0
240593,RD95,Y,5.0
240594,RD95,Y,5.0
240595,RD95,Y,5.0
240596,RD95,Y,5.0
240597,RD95,Y,5.0
240598,RD95,Y,5.0
240599,RD95,Y,5.0
240600,RD95,Y,5.0
240601,RD95,Y,5.0
240602,RD95,Y,5.0
240603,RD95,Y,5.0
240604,RD95,Y,5.0
240605,RD95,Y,5.0
240606,RD95,Y,5.0
240607,RD95,Y,5.0
240608,RD95,Y,5.0
240609,RD95,Y,5.0
240610,RD95,Y,5.0
240611,RD95,Y,5.0
240612,RD95,Y,5.0
240613,RD95,Y,5.0
240614,RD95,Y,5.0
240615,RD95,Y,5.0
240616,RD95,Y,5.0
240617,RD95,Y,5.0
240618,RD95,Y,5.0
240619,RD95,Y,5.0
240620,RD95,Y,5.0
240621,RD95,Y,5.0
240622,RD95,Y,5.0
240623,RD95,Y,5.0
240624,RD95,Y,5.0
240625,RD95,Y,5.0
240626,RD95,Y,5.0
240627,RD95,Y,5.0
240628,RD95,Y,5.0
240629,RD95,Y,5.0
240630,RD95,Y,5.0
240631,RD95,Y,5.0
240632,RD95,Y,5.0
240633,RD95,Y,5.0
240634,RD95,Y,5.0
240635,RD95,Y,5.0
240636,RD95,Y,5.0
240637,RD95,Y,5.0
240638,RD95,Y,5.0
240639,RD95,Y,5.0
240640,RD95,Y,5.0
240641,RD95,Y,5.0
240642,RD95,Y,5.0
240643,RD95,Y,5.0
240644,RD95,Y,5.0
240645,RD95,Y,5.0
240646,RD95,Y,5.0
240647,RD95,Y,5.0
240648,RD95,Y,5.0
240649,RD95,Y,5.0
240650,RD95,Y,5.0
240651,RD95,Y,5.0
240652,RD95,Y,5.0
240653,RD95,Y,5.0
240654,RD95,Y,5.0
240655,RD95,Y,5.0
240656,RD95,Y,5.0
240657,RD95,Y,5.0
240658,RD95,Y,5.0
240659,RD95,Y,5.0
240660,RD95,Y,5.0
240661,RD95,Y,5.0
240662,RD95,Y,5.0
240663,RD95,Y,5.0
240664,RD95,Y,5.0
240665,RD95,Y,5.0
240666,RD95,Y,5.0
240667,RD95,Y,5.0
240668,RD95,Y,5.0
240669,RD95,Y,5.0
240670,RD95,Y,5.0
240671,RD95,Y,5.0
240672,RD95,Y,5.0
240673,RD95,Y,5.0
240674,RD95,Y,5.0
240675,RD95,Y,5.0
240676,RD95,Y,5.0
240677,RD95,Y,5.0
240678,RD95,Y,5.0
240679,RD95,Y,5.0
240680,RD95,Y,5.0
240681,RD95,Y,5.0
240682,RD95,Y,5.0
240683,RD95,Y,5.0
240684,RD95,Y,5.0
240685,RD95,Y,5.0
240686,RD95,Y,5.0
240687,RD95,Y,5.0
240688,RD95,Y,5.0
240689,RD95,Y,5.0
240690,RD95,Y,5.0
240691,RD95,Y,5.0
240692,RD95,Y,5.0
240693,RD95,Y,5.0
240694,RD95,Y,5.0
240695,RD95,Y,5.0
240696,RD95,Y,5.0
240697,RD95,Y,5.0
240698,RD95,Y,5.0
240699,RD95,Y,5.0
240700,RD95,Y,5.0
240701,RD95,Y,5.0
240702,RD95,Y,5.0
240703,RD95,Y,5.0
240704,RD95,Y,5.0
240705,RD95,Y,5.0
240706,RD95,Y,5.0
240707,RD95,Y,5.0
240708,RD95,Y,5.0
240709,RD95,Y,5.0
240710,RD95,Y,5.0
240711,RD95,Y,5.0
240712,RD95,Y,5.0
240713,RD95,Y,5.0
240714,RD95,Y,5.0
240715,RD95,Y,5.0
240716,RD95,Y,5.0
240717,RD95,Y,5.0
240718,RD95,Y,5.0
240719,RD95,Y,5.0
240720,RD95,Y,5.0
240721,RD95,Y,5.0
240723,RD95,Y,5.0
240724,RD95,Y,5.0
240725,RD80,Y,20.0
240726,RD80,Y,20.0
240928,"RD90, RD10",N,None
241000,RD80,Y,20.0
